Index	Name	Wikipedia Link	Postal Code(s)	Demonym(s)	Localities	Neighbours	Elevation
1	Eglisau	https://en.m.wikipedia.org/wiki/Eglisau	8193	Eglisauer		Buchberg (SH), Bülach, Freienstein-Teufen, Glattfelden, Hohentengen am Hochrhein (DE-BW), Hüntwangen, Rafz, Rorbas, Rüdlingen (SH), Wil	355 m (1,165 ft)
2	Buchberg, Schaffhausen	https://en.m.wikipedia.org/wiki/Buchberg_SH	8454			Eglisau (ZH), Flaach (ZH), Freienstein-Teufen (ZH), Marthalen (ZH), Rafz (ZH), Rüdlingen	487 m (1,598 ft)
3	Bülach	https://en.m.wikipedia.org/wiki/B%C3%BClach	8180	German: Bülacher(in) or Büler(in)		Bachenbülach, Eglisau, Embrach, Glattfelden, Hochfelden, Höri, Rorbas, Winkel	
4	Freienstein-Teufen	https://en.m.wikipedia.org/wiki/Freienstein-Teufen	8427			Berg am Irchel, Buch am Irchel, Buchberg (SH), Dättlikon, Eglisau, Embrach, Rorbas, Rüdlingen (SH)	420 m (1,380 ft)
5	Glattfelden	https://en.m.wikipedia.org/wiki/Glattfelden	8192	(?) Glattfelder(in)		Bülach, Eglisau, Hochfelden, Hohentengen am Hochrhein (DE-BW), Hüntwangen, Stadel bei Niederglatt, Weiach	387 m (1,270 ft)
7	Hüntwangen	https://en.m.wikipedia.org/wiki/H%C3%BCntwangen	8194			Eglisau, Glattfelden, Hohentengen am Hochrhein (DE-BW), Wasterkingen, Wil	390 m (1,280 ft)
8	Rafz	https://en.m.wikipedia.org/wiki/Rafz	8197			Buchberg (SH), Dettighofen (DE-BW), Eglisau, Jestetten (DE-BW), Lottstetten (DE-BW), Rüdlingen (SH), Wil	419 m (1,375 ft)
9	Rorbas	https://en.m.wikipedia.org/wiki/Rorbas	8427			Bülach, Eglisau, Embrach, Freienstein-Teufen	395 m (1,296 ft)
10	Rüdlingen	https://en.m.wikipedia.org/wiki/R%C3%BCdlingen	8455			Berg am Irchel (ZH), Buchberg, Eglisau (ZH), Flaach (ZH), Freienstein-Teufen (ZH), Lottstetten (DE-BW), Marthalen (ZH), Rafz (ZH)	367 m (1,204 ft)
11	Wil, Zürich	https://en.m.wikipedia.org/wiki/Wil,_Z%C3%BCrich	8196			Dettighofen (DE-BW), Eglisau, Hüntwangen, Klettgau (DE-BW), Rafz, Wasterkingen	406 m (1,332 ft)
12	Flaach	https://en.m.wikipedia.org/wiki/Flaach	8416			Andelfingen, Berg am Irchel, Buchberg (SH), Kleinandelfingen, Marthalen, Rüdlingen (SH), Volken	360 m (1,180 ft)
14	Marthalen	https://en.m.wikipedia.org/wiki/Marthalen	8460			Benken, Buchberg (SH), Flaach, Kleinandelfingen, Lottstetten (DE-BW), Rheinau, Rüdlingen (SH), Trüllikon	457 m (1,499 ft)
17	Bachenbülach	https://en.m.wikipedia.org/wiki/Bachenb%C3%BClach	8184			Bülach, Höri, Oberglatt, Winkel	430 m (1,410 ft)
18	Embrach	https://en.m.wikipedia.org/wiki/Embrach	8424			Bülach, Dättlikon, Freienstein-Teufen, Lufingen, Oberembrach, Pfungen, Rorbas, Winkel	428 m (1,404 ft)
20	Hochfelden, Switzerland	https://en.m.wikipedia.org/wiki/Hochfelden,_Switzerland	8182	(?) Hochfelder(in)		Bülach, Glattfelden, Höri, Neerach, Stadel bei Niederglatt	399 m (1,309 ft)
21	Höri	https://en.m.wikipedia.org/wiki/H%C3%B6ri	8181			Bachenbülach, Bülach, Hochfelden, Neerach, Niederglatt, Oberglatt	412 m (1,352 ft)
23	Winkel, Switzerland	https://en.m.wikipedia.org/wiki/Winkel,_Switzerland	8185			Bachenbülach, Bülach, Embrach, Kloten, Lufingen, Oberglatt, Rümlang	450 m (1,480 ft)
24	Berg am Irchel	https://en.m.wikipedia.org/wiki/Berg_am_Irchel	8415			Buch am Irchel, Flaach, Freienstein-Teufen, Rüdlingen (SH), Volken	410 m (1,350 ft)
25	Buch am Irchel	https://en.m.wikipedia.org/wiki/Buch_am_Irchel	8414			Berg am Irchel, Dättlikon, Dorf, Freienstein-Teufen, Neftenbach, Volken	534 m (1,752 ft)
26	Dättlikon	https://en.m.wikipedia.org/wiki/D%C3%A4ttlikon	8421			Buch am Irchel, Embrach, Freienstein-Teufen, Neftenbach, Pfungen	386 m (1,266 ft)
33	Stadel bei Niederglatt	https://en.m.wikipedia.org/wiki/Stadel_bei_Niederglatt	8174			Glattfelden, Hochfelden, Neerach, Bachs, Weiach	436 m (1,430 ft)
34	Weiach	https://en.m.wikipedia.org/wiki/Weiach	8187			Fisibach (AG), Kaiserstuhl (AG), Hohentengen am Hochrhein (D), Glattfelden, Stadel bei Niederglatt, Bachs	390 m (1,280 ft)
35	Wasterkingen	https://en.m.wikipedia.org/wiki/Wasterkingen	8195			Hohentengen am Hochrhein (DE-BW), Hüntwangen, Klettgau (DE-BW), Wil	393 m (1,289 ft)
